,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
8,1642476292,8,0.1875,0.166666667,0.086956522,0.541666667,0.045454545,0.217391304,0.181818182,0,0,0,1,0,0,0,0.051849694,2.473330004,CNN,78,0
9,1642476312,9,0.145833333,0.222222222,0.217391304,0.375,0.181818182,0.260869565,0.272727273,0,0,0,1,0,0,0,0.097717858,2.750222615,CNN,78,0
10,1642476333,10,0.145833333,0.055555556,0.217391304,0.25,0.181818182,0.260869565,0.090909091,0,0,0,1,0,0,0,0.106212572,2.663416104,CNN,78,0
11,1642476354,11,0.1875,0.055555556,0.260869565,0.25,0.181818182,0.173913043,0.227272727,0,0,0,1,0,0,0,0.111964584,2.709283481,CNN,78,0
12,1642476376,12,0.25,0.222222222,0.217391304,0.5,0.181818182,0.260869565,0.227272727,0,0,0,1,0,0,0,0.080272196,2.723083786,CNN,78,0
13,1642476399,13,0.3125,0.333333333,0.434782609,0.583333333,0.272727273,0.47826087,0.272727273,0,0,0,1,0,0,0,0.135558311,2.750975925,CNN,78,0
14,1642476423,14,0.354166667,0.111111111,0.347826087,0.583333333,0.181818182,0.304347826,0.318181818,0,0,0,1,0,0,0,0.094185561,2.665323876,CNN,78,0
15,1642476446,15,0.1875,0.111111111,0.260869565,0.541666667,0.181818182,0.391304348,0.318181818,0,0,0,1,0,0,0,0.087577274,2.64697412,CNN,78,0
16,1642476469,16,0.270833333,0.166666667,0.217391304,0.375,0.090909091,0.217391304,0.272727273,0,0,0,1,0,0,0,0.095559437,2.708347116,CNN,78,0
17,1642476492,17,0.208333333,0.277777778,0.391304348,0.625,0.272727273,0.347826087,0.181818182,0,0,0,1,0,0,0,0.091818338,2.691365074,CNN,78,0
18,1642476516,18,0.291666667,0,0.130434783,0.416666667,0.090909091,0.260869565,0.136363636,0,0,0,1,0,0,0,0.07675327,2.397818893,CNN,78,0
19,1642476539,19,0.291666667,0.333333333,0.52173913,0.625,0.227272727,0.304347826,0.318181818,0,0,0,1,0,0,0,0.122076777,2.72324556,CNN,78,0
20,1642476563,20,0.166666667,0.222222222,0.391304348,0.458333333,0.227272727,0.217391304,0.136363636,0,0,0,1,0,0,0,0.091598468,2.685443559,CNN,78,0
21,1642476588,21,0.270833333,0,0.173913043,0.541666667,0.227272727,0.173913043,0.136363636,0,0,0,1,0,0,0,0.059165652,2.409077834,CNN,78,0
22,1642476615,22,0.291666667,0.222222222,0.434782609,0.5,0.227272727,0.434782609,0.318181818,0,0,0,1,0,0,0,0.130773794,2.744764487,CNN,78,0
23,1642476641,23,0.270833333,0.166666667,0.304347826,0.708333333,0.227272727,0.347826087,0.227272727,0,0,0,1,0,0,0,0.07187347,2.644318965,CNN,78,0
24,1642476667,24,0.291666667,0.222222222,0.434782609,0.791666667,0.318181818,0.260869565,0.136363636,0,0,0,1,0,0,0,0.079254071,2.604643453,CNN,78,0
